year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2010,1,NY,New York,Nutrition,Food Security,Restaurant/Retail,Sale Or Use of Artificial Trans Fat,Dead,S6437,3,"(Abstract - Relates to prohibiting the sale or use of artificial trans fats in food service establishments, mobile food service establishments and retail food stores. ), (BillHistory - 01/11/2010 - INTRODUCED.;01/11/2010 - To SENATE Committee on HEALTH.)",14,LEG,001NUT,023FOS,006RES,1636,"(42.827001032, -75.543970427)"
2012,1,NY,New York,Nutrition,Trans Fats,Early Care and Education,Relates to Obesity Prevention<br>,Dead,S6423,3,"(Abstract - Assists the already established Farm-to-School program and New York Harvest For New York Kids Week to promote New York agriculture through farmers’ markets and other locations in the community.  Requires implementation of the Childhood Obesity Prevention Program and an emphasis on eating fresh fruits and vegetables, and to encourage the use of community gardens, especially in urban settings.  Establishes a Community Gardens Task Force.  Encourages development of marketing programs to promote consumption of fruits and vegetables. Includes a body mass index screening for students as part of school health services. Encourages the promotion of foods and beverages, in schools, with nutrition standards which include sodium, fat and added sugars. Allows the state Department of Health to require restaurants to restrict the use of trans fat in foods served, or for the restaurants to post warnings about the use of trans fat and to disclose nutrition information of food served, including sodium.    Includes daily physical exercise or activity in the physical education requirements for schools. Gives mothers a right to breastfeed at the place of employment or a child day care center. ), (BillHistory - 02/08/2012 INTRODUCED; 02/08/2012 To SENATE Committee on AGRICULTURE; 04/23/2012 Amended in SENATE Committee on AGRICULTURE.)",24,LEG,001NUT,050FAT,001ECE,6020,"(42.827001032, -75.543970427)"
2013,1,TX,Texas,Physical Activity,Initiatives and Programs,Work Place,Resolution,Introduced,HR1113,0,"(Abstract - ""Establishes April 8-14, 2013 as Healthy Texas Week, encouraging workplaces, schools and communities to encourage healthy eating and physical activity.""), (BillHistory - 03/22/2013 INTRODUCED.)",70,LEG,003PA,053INP,005WKP,6812,"(31.827240407, -99.426770206)"
2007,1,KS,Kansas,Nutrition,Incentives,Work Place,Bariatric Surgery Study,Enacted,H2672,1,"(Abstract - Authorizes a study of bariatric surgery for the morbidly obese, relates to emerging research evidence of the positive health impact for the morbidly obese, qualifications of the patients and the surgeons when the surgery is appropriate, a cost analysis with insurance and Medicaid reimbursement, a study on the impact of extending coverage for bariatric surgery in the state employee health care benefits program, health data, affordability of coverage for small businesses, high risk pools and reinsurance.), (BillHistory - 01/24/2008 - INTRODUCED.;01/25/2008 - To HOUSE Committee on HEALTH AND HUMAN SERVICES.;02/26/2008 - From HOUSE Committee on HEALTH AND HUMAN SERVICES:  Recommended as amended.;03/11/2008 - Committee amendment adopted on HOUSE floor.;03/11/2008 - Amended on HOUSE floor.;03/12/2008 - Passed HOUSE.  *****To SENATE.;03/13/2008 - To SENATE Committee on PUBLIC HEALTH AND WELFARE.;03/26/2008 - From SENATE Committee on PUBLIC HEALTH AND WELFARE:  Recommended as amended.;03/28/2008 - Committee amendment adopted on SENATE floor.;03/28/2008 - Amended on SENATE floor.;03/28/2008 - Passed SENATE.  *****To HOUSE for concurrence.;03/31/2008 - HOUSE refused to concur in SENATE amendments.;03/31/2008 - *****To CONFERENCE Committee.;04/02/2008 - CONFERENCE Committee Report adopted by SENATE.;04/03/2008 - CONFERENCE Committee Report adopted by HOUSE.;04/03/2008 - Eligible for GOVERNOR'S desk.;04/11/2008 - *****To GOVERNOR.;04/21/2008 - Signed by GOVERNOR.;06/09/2008 - Chapter No. 2008-110)",17,LEG,001NUT,029INC,005WKP,2167,"(38.3477403, -98.200781227)"
2013,1,MD,Maryland,Physical Activity,Public Transportation,Community,An Act Concerning Maryland Smart Growth Investment Fund Workgroup,Introduced,HB1170,0,"(Abstract - ""Requires the creation a workgroup to evaluate and make recommendations on the creation of the Maryland Smart Growth Investment Fund.  Requires the workgroup to make recommendations on policies that accelerate smart growth  such as sustainable communities and transit-oriented development, among other things.""), (BillHistory - ""02/08/2013 INTRODUCED; 02/08/2013; To HOUSE Committee on ENVIRONMENTAL MATTERS; 02/08/2013 To HOUSE Committee on WAYS AND MEANS; 03/21/2013 From HOUSE Committee on ENVIRONMENTAL MATTERS: Reported as amended; 03/21/2013 Committee amendment adopted on HOUSE floor; 03/21/2013 Second reading passed with amendments. To third reading; 03/22/2013 Passed HOUSE. *****To SENATE; 03/25/2013 To SENATE Committee on EDUCATION, HEALTH AND ENVIRONMENTAL AFFAIRS; 03/25/2013 To SENATE Committee on BUDGET AND TAXATION; 03/26/2013 Reassigned to SENATE Committee on EDUCATION, HEALTH AND ENVIRONMENTAL AFFAIRS."")",63,LEG,003PA,040TRS,002COM,6803,"(39.290580964, -76.609260111)"
2011,1,NY,New York,Nutrition,Medical Care,Community,Sales and Compensating Use Tax Exemption,Dead,S280,3,"(Abstract - Exempts bicycles from sales and compensating use tax.   ), (BillHistory - 12/13/2010 - PREFILED.;12/13/2010 - To SENATE Committee on INVESTIGATIONS AND GOVERNMENT OPERATIONS.;01/05/2011 - INTRODUCED.;01/05/2011 - To SENATE Committee on INVESTIGATIONS AND GOVERNMENT OPERATIONS.)",16,LEG,001NUT,026MEC,002COM,3091,"(42.827001032, -75.543970427)"
2009,1,LA,Louisiana,Nutrition,Appropriations,Community,Appropriations,Dead,H857,3,"(Abstract - Appropriates funds from the American Recovery and Reinvestment Act Fund.), (BillHistory - 06/17/2009 - Withdrawn from SENATE Committee on FINANCE.)",2,LEG,001NUT,002APP,002COM,894,"(31.312660644, -92.445680071)"
2011,1,MA,Massachusetts,Nutrition,Sodium,Community,Regulation of Bottled Water,Dead,H1019,3,"(Abstract - Relates to the regulation of bottled water, relates to permits issued by a board of health, imposes reporting requirements as a condition of licensure, provides for required warnings on labels if certain substances are present, requires the department of health to develop and maintain a procedure for the recall of bottled water. States what information is to appear on bottled water labels, including sodium content.   ), (BillHistory - 01/20/2011 - INTRODUCED.;01/20/2011 - Filed as House Docket 1528;02/16/2011 - To JOINT Committee on CONSUMER PROTECTION AND PROFESSIONAL LICENSURE.)",22,LEG,001NUT,045SOD,002COM,4009,"(42.27687047, -72.082690675)"
2010,1,NM,New Mexico,Nutrition,Appropriations,Community,Taxation and Soft Drinks,Dead,S31,3,"(Abstract - Relates to taxation, eliminates a deduction from gross receipts for receipts from the sale of soft drinks, makes a distribution to the county supported Medicaid fund. ), (BillHistory - 12/18/2009 - PREFILED.;01/19/2010 - INTRODUCED.;01/19/2010 - To SENATE Committee on COMMITTEES.;01/19/2010 - To SENATE Committee on CORPORATIONS AND TRANSPORTATION.;01/19/2010 - To SENATE Committee on FINANCE.;01/25/2010 - From SENATE Committee on COMMITTEES. Do pass germane.)",2,LEG,001NUT,002APP,002COM,3006,"(34.520880952, -106.240580985)"
2011,1,NE,Nebraska,Nutrition,Agriculture and Farming,Restaurant/Retail,Nebraska Healthy Food Financing Initiative Act,Dead,L200,3,"(Abstract - Adopts the Nebraska Healthy Food Financing Initiative Act. Seeks to pursue opportunities for increasing access in underserved communities to retail grocers, urban and rural farm stands, farmers markets, food consumer cooperatives, community gardens, and direct farmer-to-consumer and institution marketing systems and stimulate financing for grocery retail and other sources of healthy food.   ), (BillHistory - 01/07/2011 - INTRODUCED.;01/11/2011 - To LEGISLATIVE Committee on AGRICULTURE.;03/10/2011 - From LEGISLATIVE Committee on AGRICULTURE:  Placed on General File as amended.;03/31/2011 - Committee Amendment adopted on LEGISLATIVE floor. AMENDMENT: AM645;04/05/2011 - Placed on SELECT FILE as amended.;04/26/2011 - From SELECT FILE.  Do pass as amended. AMENDMENT AM1303 and ER78;04/26/2011 - Advanced to Enrollment and Review for Engrossment.;04/27/2011 - Placed on FINAL READING.;05/12/2011 - Failed on FINAL READING.;05/18/2011 - Passed on FINAL READING.;05/18/2011 - *****To GOVERNOR.;05/24/2011 - Vetoed by GOVERNOR.)",10,LEG,001NUT,017AGF,006RES,4229,"(41.641040988001, -99.365720623)"
2011,1,WV,West Virginia,Obesity,Appropriations,Restaurant/Retail,Soft Drinks Tax,Dead,H2968,3,"(Abstract - Increases the soft drinks tax. For the purpose of providing revenue for the construction, maintenance and improvements of state parks, an additional excise tax is hereby levied and imposed, effective July 1, 2011, upon the sale, use, handling or distribution of all bottled soft drinks and all soft drink syrups, whether manufactured within or without this state.   ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To HOUSE Committee on FINANCE.)",28,LEG,002OB,002APP,006RES,4780,"(38.665510202, -80.712640135)"
2011,1,WA,Washington,Physical Activity,Built Environment and Street-Scale Design,Community,Bicycle and Pedestrian Traffic Safety Curriculum,Enacted,H1129,1,"(Abstract - Requires a bicycle and pedestrian traffic safety curriculum in traffic schools and safety courses conducted in connection with a condition of a deferral, sentence, or penalty for a traffic infraction or traffic-related criminal offense.   ), (BillHistory - 01/12/2011 - INTRODUCED.;01/12/2011 - To HOUSE Committee on TRANSPORTATION.;01/24/2011 - From HOUSE Committee on TRANSPORTATION:  Do pass.;01/25/2011 - Placed on 2nd Reading by RULES Committee.;02/07/2011 - Passed HOUSE.  *****To SENATE.;02/08/2011 - To SENATE Committee on TRANSPORTATION.;03/09/2011 - Public hearing scheduled.;03/15/2011 - From SENATE Committee on TRANSPORTATION: Do pass.;03/23/2011 - Rules suspended.;03/23/2011 - Passed SENATE.;04/04/2011 - Eligible for GOVERNOR'S desk.;04/06/2011 - *****To GOVERNOR.;04/11/2011 - Signed by GOVERNOR.;04/12/2011 - Chapter No. 17)",68,LEG,003PA,049BED,002COM,4737,"(47.522278629, -120.47001079)"
2011,1,MD,Maryland,Nutrition,Access to Healthy Foods,Community,Local Educational Agency,Enacted,H751,1,"(Abstract - Requires each local educational agency participating in the Jane Lawton Farm-to-School Program to report by January 1 each year to the Department of Agriculture the types and amounts of farm products purchased from farms in the State, establishes promotional events that promote State agriculture and farm products to children through school meal and classroom programs.   ), (BillHistory - 02/10/2011 - INTRODUCED.;02/10/2011 - To HOUSE Committee on ENVIRONMENTAL MATTERS.;03/21/2011 - From HOUSE Committee on ENVIRONMENTAL MATTERS:  Reported favorably.;03/22/2011 - Committee Report adopted on HOUSE floor.;03/23/2011 - Passed HOUSE.  *****To SENATE.;03/24/2011 - To SENATE Committee on EDUCATION, HEALTH AND ENVIRONMENTAL AFFAIRS.;04/04/2011 - From SENATE Committee on EDUCATION, HEALTH AND ENVIRONMENTAL AFFAIRS:  Reported favorably.;04/04/2011 - Committee Report adopted on SENATE floor.;04/05/2011 - Passed SENATE.;04/05/2011 - Eligible for GOVERNOR'S desk.;04/12/2011 - Signed by GOVERNOR.;04/12/2011 - Chapter No. 140)",1,LEG,001NUT,001AHF,002COM,3988,"(39.290580964, -76.609260111)"
2005,1,ND,North Dakota,Nutrition,School Nutrition,School/After School,Expenses Of The Department Of Health,Enacted,S2004,1,"(Abstract - Provides an appropriation for defraying the expenses of the Department of Health, relates to inspections and licensure of food vending machines, beverage sales, food and lodging establishments, assisted living facilities, pushcarts, mobile food units, salvaged food distributors, bed and breakfasts, school and child care food and drink, mobile home parks, trailer parks and campgrounds.), (BillHistory - 12/23/2004 - PREFILED.;01/04/2005 - INTRODUCED.;01/04/2005 - To SENATE Committee on APPROPRIATIONS.;02/16/2005 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.;02/17/2005 - Committee amendment adopted on SENATE floor.;02/17/2005 - Passed SENATE.  *****To HOUSE.;02/23/2005 - To HOUSE Committee on APPROPRIATIONS.;04/04/2005 - From HOUSE Committee on APPROPRIATIONS:  Do pass as amended.;04/05/2005 - Committee amendment adopted on HOUSE floor.;04/05/2005 - Passed HOUSE.  *****To SENATE for concurrence.;04/06/2005 - SENATE refused to concur in HOUSE amendments.;04/06/2005 - *****To CONFERENCE Committee.;04/18/2005 - CONFERENCE Committee Report adopted by SENATE.;04/21/2005 - CONFERENCE Committee Report adopted by HOUSE.;04/21/2005 - Eligible for GOVERNOR'S desk.;04/25/2005 - *****To GOVERNOR.;04/25/2005 - Signed by GOVERNOR.)",21,LEG,001NUT,043SNU,004SAS,1274,"(47.475319779, -100.118421049)"
2009,1,NJ,New Jersey,Obesity,Appropriations,School/After School,Childhood Obesity Prevention,Dead,S2911,3,"(Abstract - Designates State Coordinator for Childhood Obesity Prevention and Awareness.), (BillHistory - 06/11/2009 - FILED.;06/15/2009 - INTRODUCED.;06/15/2009 - To SENATE Committee on HEALTH, HUMAN SERVICES AND SENIOR CITIZENS.)",28,LEG,002OB,002APP,004SAS,1549,"(40.130570048, -74.273691288)"
2009,1,ID,Idaho,Nutrition,Fruits and Vegetables,Community,Rules of the Preferred Promotion Program,Enacted,R8145,1,"(Abstract - Allows the Department of Agriculture to charge Idaho Preferred participants for promotional materials such as stickers, banners, signs, aprons, shopping bags, etc. The Idaho Preferred® Promotion Program was developed by the Idaho State Department of Agriculture to identify and promote food and agricultural products from the state of Idaho, elevate consumer awareness of such products, and assist in developing opportunities for the sale of such products.), (BillHistory - )",15,REG,001NUT,025FAV,002COM,3328,"(43.682630005, -114.363730042)"
2010,1,MI,Michigan,Obesity,Food Restrictions,Restaurant/Retail,Cottage Food Operation,Dead,S1403,3,"(Abstract - Allows sale of certain foods produced by a cottage food operation. ), (BillHistory - 06/23/2010 - INTRODUCED.;06/23/2010 - To SENATE Committee on AGRICULTURE AND BIOECONOMY.)",35,LEG,002OB,020FOR,006RES,2790,"(44.661319543001, -84.71439027)"
2009,1,OK,Oklahoma,Physical Activity,School Siting,School/After School,"Roads, Bridges And Ferries",Dead,S425,3,"(Abstract - Relates to roads, bridges and ferries, designates the Oklahoma Department of Transportation as the agency to implement the Safe Routes to Schools program, states purpose, states duties, authorizes Director to appoint certain advisory committee, prohibits compensation for certain members, authorizes Department to promulgate rules, creates revolving fund, provides for codification, provides an effective date, declares an emergency.), (BillHistory - 01/07/2009 - PREFILED.;02/02/2009 - INTRODUCED.;02/03/2009 - To SENATE Committee on TRANSPORTATION.)",65,LEG,003PA,042SIT,004SAS,523,"(35.472031356, -97.521070214)"
2009,1,KY,Kentucky,Physical Activity,Physical Education Requirements,School/After School,Physical Activity,Dead,BR41,3,"(Abstract - (HB 11) Requires the Kentucky Department of education to identify and disseminate model resources for integrating physical activity during the school day, encourage schools to utilize certified physical education teachers in the development of physical activity plans, develop a reporting mechanism for schools containing grades K-5 to report on results of physical activity and wellness programs.), (BillHistory - 07/30/2008 - PREFILED.;01/06/2009 - Assigned HOUSE Bill No. 11.)",61,LEG,003PA,036PER,004SAS,867,"(37.645970271, -84.774971048)"
2010,1,MO,Missouri,Obesity,Health Insurance Coverage,Community,City of Arnold,Dead,H1866,3,"(Abstract - Allows the City of Arnold to use transient guest taxes imposed for the purpose of promoting tourism for improvements to the city's school district's football field. ), (BillHistory - 01/28/2010 - INTRODUCED.;05/14/2010 - To HOUSE Committee on LOCAL GOVERNMENT.)",37,LEG,002OB,028HIC,002COM,2838,"(38.635790776, -92.566300053)"
2009,1,IL,Illinois,Physical Activity,Public Transportation,Community,Transportation Law,Dead,H2359,3,"(Abstract - Amends the Department of Transportation Law of the Civil Administrative Code of Illinois. Creates the State Transportation Policy Committee. Specifies the terms and appointment of the Committee members. Provides for the number of members on the committee.), (BillHistory - 02/19/2009 - INTRODUCED.;02/19/2009 - To HOUSE Committee on RULES.;03/10/2009 - In HOUSE Committee on RULES:  Amendment No. 1  filed.;03/10/2009 - In HOUSE Committee on RULES: Adopted Amendment No. 1.;05/22/2009 - Rereferred to HOUSE Committee on RULES.)",63,LEG,003PA,040TRS,002COM,1800,"(40.485010283, -88.997710178)"
2009,1,CO,Colorado,Obesity,Appropriations,Community,Department Of Human Service,Enacted,S189,1,"(Abstract - Concerns a supplemental appropriation to the Department of Human Services.), (BillHistory - 06/22/2009 - Session Law Chaptered.  Chapter No. 448)",28,LEG,002OB,002APP,002COM,2280,"(38.843840757, -106.133610921)"
2011,1,NC,North Carolina,Physical Activity,Media Campaigns,School/After School,Childhood Obesity Legislative Task Force,Dead,S242,3,"(Abstract - Establishes the legislative task force on childhood obesity. The Task Force shall recommend strategies for addressing the problem of childhood obesity through early childhood intervention, childcare facilities, before- and after-school programs, physical education and physical activity in schools, higher nutrition standards in schools, access to recreational activities, and community initiatives and public awareness.   ), (BillHistory - 03/07/2011 - FILED.;03/08/2011 - INTRODUCED.;03/08/2011 - To SENATE Committee on RULES AND OPERATIONS OF THE SENATE.)",57,LEG,003PA,031MDC,004SAS,4442,"(35.466220975, -79.159250463)"
2009,1,CA,California,Obesity,Appropriations,Community,Budget Act of 2009,Dead,A105,3,"(Abstract - Makes appropriations for support of state government for the 2009-10 fiscal year. ), (BillHistory - 01/09/2009 - INTRODUCED.;02/26/2009 - To ASSEMBLY Committee on BUDGET.;01/31/2010 - Died pursuant to Art. IV, Sec. 10(c) of the Constitution.;02/02/2010 - From Committee: Filed with the Chief Clerk pursuant to JR 56.)",28,LEG,002OB,002APP,002COM,2442,"(37.638640123, -120.999999538)"
2011,1,AR,Arkansas,Obesity,Appropriations,Community,Underserved Areas and Economic Development,Dead,S812,3,"(Abstract - Creates a study to explore how to use the Arkansas economic development commission, rural services, other public agencies, organizations, and the private sector in addressing quality of life issues in underserved areas and to attract and promote economic development in these underserved areas. Issues include: Access to housing, access to social and recreational outlets, both indoor and outdoor, access to comprehensive healthcare, access to a wide variety of high-quality, healthy food choices, access to transportation.   ), (BillHistory - 03/04/2011 - INTRODUCED.;03/07/2011 - To SENATE Committee on AGRICULTURE, FORESTRY AND ECONOMIC DEVELOPMENT.;03/23/2011 - Withdrawn from SENATE Committee on AGRICULTURE, FORESTRY AND ECONOMIC DEVELOPMENT.;03/23/2011 - Amended on SENATE floor.;03/23/2011 - To SENATE Committee on AGRICULTURE, FORESTRY AND ECONOMIC DEVELOPMENT.;03/29/2011 - From SENATE Committee on AGRICULTURE, FORESTRY AND ECONOMIC DEVELOPMENT:  Do pass.;03/29/2011 - Amended on SENATE floor.;03/30/2011 - Passed SENATE.  *****To HOUSE.;03/30/2011 - To HOUSE Committee on AGRICULTURE, FORESTRY AND ECONOMIC DEVELOPMENT.)",28,LEG,002OB,002APP,002COM,3540,"(34.748650124, -92.274490743)"
2007,1,UT,Utah,Nutrition,Vending,School/After School,Sales and Use Tax Exemptions for Governmental Entities,Enacted,S22,1,"(Abstract - Amends the Sales and Use Tax Act relating to sales and use tax exemptions for certain governmental entities and entities within the state systems of public and higher education, modifies the sales and use tax exemption for photocopies to provide an exemption for sales of photocopies by a governmental entity or an entity within the state system of public education, provides a sales and use tax exemption for publications by a government entity.  Exempts certain sales from the bill's tax, including sales made in accordance with the special supplemental nutrition program for wic, sales of foods from vending machines, sales of foods to airline carriers, among other things.    ), (BillHistory - 12/18/2006 - PREFILED.;01/15/2007 - INTRODUCED.;01/15/2007 - To SENATE Committee on RULES.;01/15/2007 - From SENATE Committee on RULES.  To SENATE Standing Committee.;01/15/2007 - To SENATE Committee on REVENUE AND TAXATION.;01/18/2007 - From SENATE Committee on REVENUE AND TAXATION:  Reported favorably.;01/29/2007 - Passed SENATE.  *****To HOUSE.;01/29/2007 - To HOUSE Committee on RULES.;01/30/2007 - From HOUSE Committee on RULES.  To Standing Committee.;01/30/2007 - To HOUSE Committee on REVENUE AND TAXATION.;02/06/2007 - From HOUSE Committee on REVENUE AND TAXATION:  Reported favorably.;02/06/2007 - To HOUSE Committee on RULES.;02/27/2007 - From HOUSE Committee on RULES.;02/27/2007 - Passed HOUSE.;03/08/2007 - Enrolled.;03/09/2007 - *****To GOVERNOR.;03/13/2007 - Signed by GOVERNOR.;04/02/2007 - Chaptered.  Chapter No. 214)",25,LEG,001NUT,051VEN,004SAS,595,"(39.360700171, -111.587130635)"
2011,1,HI,Hawaii,Obesity,Food Restrictions,Restaurant/Retail,Concession Contracts,Dead,SR60,3,"(Abstract - Urges the Department of Transportation to require food vendors and concessionaries on state property to sell Hawaii products. the Department of Transportation is urged, in its negotiations for newsstand and concession contracts on state properties, to require all vendors selling food products and produce to sell Hawaii products.), (BillHistory - 03/15/2011 - INTRODUCED.;03/17/2011 - To SENATE Committee on TRANSPORTATION AND INTERNATIONAL AFFAIRS.;03/17/2011 - Additionally referred to SENATE Committee on AGRICULTURE.)",35,LEG,002OB,020FOR,006RES,3829,"(21.304850435, -157.857749403)"
2009,1,MA,Massachusetts,Nutrition,Appropriations,Community,Racial and Ethnic Health Disparities,Dead,S810,3,"(Abstract - Eliminates racial and ethnic health disparities in the Commonwealth. ), (BillHistory - 01/19/2009 - INTRODUCED.;01/19/2009 - Filed as Senate Docket 1563.;01/19/2009 - To JOINT Committee on PUBLIC HEALTH.;06/09/2009 - In JOINT Committee on PUBLIC HEALTH:  Heard. Eligible for Executive Session.;11/04/2009 - From JOINT Committee on PUBLIC HEALTH:  Ought to pass.;11/04/2009 - To JOINT Committee on HEALTH CARE FINANCING.;04/29/2010 - From JOINT Committee on HEALTH CARE FINANCING:  Ought not to pass.;04/29/2010 - To SENATE Committee on ETHICS and RULES.;05/03/2010 - From SENATE Committee on ETHICS AND RULES. Reported for consideration by SENATE.;05/03/2010 - In SENATE. Placed on the Orders of the Day.;05/03/2010 - In SENATE. Ought not to pass report adopted.;05/03/2010 - To SENATE Committee on WAYS AND MEANS.;08/09/2010 - From SENATE Committee on WAYS AND MEANS:  Amended by substitution of New Draft. For further action see S 2593.;08/09/2010 - To SENATE Committee on ETHICS and RULES.;09/20/2010 - From SENATE Committee on ETHICS AND RULES. Reported for consideration by SENATE.;09/20/2010 - In SENATE. Rules suspended.;09/20/2010 - In SENATE. Read second time.;09/20/2010 - In SENATE. Committee Amendment adopted. See S 2593.)",2,LEG,001NUT,002APP,002COM,2710,"(42.27687047, -72.082690675)"
2010,1,HI,Hawaii,Nutrition,Farm Direct Foods,Community,Food Safe Certification and Pilot Program,Enacted,H1471,1,"(Abstract - Establishes a pilot program to encourage farmers to form agricultural cooperatives, coordinate purchasing agreements between the agricultural cooperatives and hotels, restaurants, and other buyers in the visitor and hospitality industries, and develop and implement safe food certification for products under the pilot program, appropriates funds. ), (BillHistory - 01/27/2009 - INTRODUCED.;01/30/2009 - To HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS.;01/30/2009 - Additionally referred to HOUSE Committee on AGRICULTURE.;02/18/2009 - In HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS:  Voted do pass with amendment.;02/18/2009 - In HOUSE Committee on AGRICULTURE:  Voted do pass with amendment.;02/19/2009 - From HOUSE Committee on TOURISM, CULTURE AND INTERNATIONAL AFFAIRS:  Do pass as amended.;02/19/2009 - From HOUSE Committee on AGRICULTURE:  Do pass as amended.;02/20/2009 - In HOUSE.  Read second time.  Committee amendment adopted. House Draft 1.;02/20/2009 - To HOUSE Committee on FINANCE.;03/04/2009 - In HOUSE Committee on FINANCE:  Voted do pass with amendment.;03/06/2009 - From HOUSE Committee on FINANCE:  Do pass as amended.;03/10/2009 - In HOUSE. Committee amendment adopted on third reading. House Draft 2.;03/10/2009 - In HOUSE.  Read third time.  Passed HOUSE.  *****To SENATE.;03/12/2009 - To SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS.;03/20/2009 - In SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS:  Voted do pass.;03/25/2009 - From SENATE Committee on WATER, LAND, AGRICULTURE AND HAWAIIAN AFFAIRS:  Do pass.;03/25/2009 - In SENATE.  Read second time.;03/25/2009 - To SENATE Committee on WAYS AND MEANS.;04/02/2009 - In SENATE Committee on WAYS AND MEANS:  Voted do pass with amendment.;04/09/2009 - From SENATE Committee on WAYS AND MEANS:  Do pass as amended.;04/14/2009 - In SENATE. Committee amendment adopted on third reading. Senate Draft 1.;04/14/2009 - In SENATE.  Read third time.  Passed SENATE.  *****To HOUSE for concurrence.;04/16/2009 - In HOUSE.  HOUSE disagreed to SENATE amendments.;04/17/2009 - *****To CONFERENCE Committee.;04/30/2009 - In CONFERENCE Committee:  Voted do pass as amended.;05/01/2009 - From CONFERENCE Committee:  Do pass as amended in Conference Draft 1.;05/07/2009 - In HOUSE.  Read final time.  CONFERENCE Committee draft adopted by HOUSE.;05/07/2009 - In SENATE.  Read final time.  CONFERENCE Committee draft adopted by SENATE.;05/11/2009 - *****To GOVERNOR.;06/30/2009 - Notice of intent to veto issued by GOVERNOR.;07/15/2009 - Vetoed by GOVERNOR.;07/15/2009 - GOVERNOR'S veto overridden by SENATE.  *****To HOUSE for concurrence.;07/15/2009 - GOVERNOR'S veto overridden by HOUSE.;07/15/2009 - Special Session of 2009 Act No. 9)",8,LEG,001NUT,015FDF,002COM,2564,"(21.304850435, -157.857749403)"
2013,1,TX,Texas,Nutrition,Disparities/Equity,Community,An Act Relating to the Inclusion of Food and Nutrition Instruction in the Transitional Living Services Program for Certain Youths in Foster Care,Introduced,HB2111,0,"(Abstract - Includes nutrition education that promotes healthy food choices as part of the services provided to foster youth for transitional living services.), (BillHistory - 03/01/2013 INTRODUCED; 03/05/2013 To HOUSE Committee on HUMAN SERVICES)",7,LEG,001NUT,013DEQ,002COM,6149,"(31.827240407, -99.426770206)"
2010,1,CA,California,Physical Activity,Public Transportation,Community,Housing Accessibility: Accessible Housing Task Force,Dead,A2516,3,"(Abstract - Requires the Department of Housing and Community Development to establish the Accessible Housing Task Force. Requires the task force to prepare and submit a report to the Legislature making recommendations relating to increasing house accessibility. ), (BillHistory - 02/19/2010 - INTRODUCED.;03/18/2010 - To ASSEMBLY Committee on JUDICIARY.;04/27/2010 - From ASSEMBLY Committee on JUDICIARY with author's amendments.;04/27/2010 - In ASSEMBLY.  Read second time and amended. Re-referred to Committee on JUDICIARY.;05/04/2010 - From ASSEMBLY Committee on JUDICIARY:  Do pass to Committee on APPROPRIATIONS.;05/19/2010 - In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File.;05/28/2010 - In ASSEMBLY Committee on APPROPRIATIONS:  Held in committee.)",63,LEG,003PA,040TRS,002COM,60,"(37.638640123, -120.999999538)"
